Year,Country / territory of asylum/residence,Origin,Refugees ,Total Population,GDP
1988,United States of America,El Salvador,1024,1024,4189880000
1989,United States of America,El Salvador,882,882,4.38E+09
1990,United States of America,El Salvador,1035,1035,4817542204
1991,United States of America,El Salvador,1136,1136,8921947100
1992,United States of America,El Salvador,1203,1203,9586327800
1993,United States of America,El Salvador,1114,1114,10221705900
1994,United States of America,El Salvador,847,847,10936669900
1995,United States of America,El Salvador,871,871,11284197000
1996,United States of America,El Salvador,981,981,11784927700
1997,United States of America,El Salvador,1172,1172,12282533600
1998,United States of America,El Salvador,1591,1591,12664190300
1999,United States of America,El Salvador,1838,1838,13243892200
2000,United States of America,El Salvador,1918,178115,17601616000
2001,United States of America,El Salvador,1883,166292,18447920000
2002,United States of America,El Salvador,1716,152616,20283780000
2003,United States of America,El Salvador,1111,129317,21386160000
2004,United States of America,El Salvador,801,92189,21990970000
2005,United States of America,El Salvador,919,45904,2.22E+10
2006,United States of America,El Salvador,3098,31561,2.22E+10
2007,United States of America,El Salvador,3432,21582,2.23E+10
2008,United States of America,El Salvador,3288,13576,2.24E+10
2009,United States of America,El Salvador,3227,11794,2.24E+10
2010,United States of America,El Salvador,3170,3489,2.25E+10
2011,United States of America,El Salvador,4706,5200,2.24E+10
2012,United States of America,El Salvador,6037,6676,2.25E+10
2013,United States of America,El Salvador,7208,17497,2.27E+10
2014,United States of America,El Salvador,8256,24680,22593470000
,,,,,
2015,United States of America,El Salvador,11273,40053,23438240000
,,,,,
2016,United States of America,El Salvador,14331,69925,24154120000
,,,,,
2017,United States of America,El Salvador,18763,110192,24927970000
,,,,,
2018,United States of America,El Salvador,22152,123152,26056950000
